Mode	PREM_freq
1S2	0.00067986
0S6	0.00103821
0S7	0.00123179
0S8	0.00141351
0S9	0.00157828
0S10	0.00172647
0S11	0.00186242
0S12	0.00199037
0S13	0.00211294
0S14	0.0022314
0S15	0.00234638
0S16	0.00245822
0S17	0.00256712
0S18	0.0026733
0S19	0.00277698
0S20	0.00287837
0S21	0.00297773
0S22	0.00307527
0S23	0.00317126
0S24	0.00326589
0S25	0.00335938
0S26	0.00345191
0S27	0.00354365
0S28	0.00363476
0S29	0.00372534
0S30	0.00381552
0S31	0.0039054
0S32	0.00399504
0S33	0.00408452
0S34	0.0041739
0S35	0.00426323
0S36	0.00435253
0S37	0.00444184
0S38	0.0045312
0S39	0.00462061
0S40	0.0047101
0S41	0.00479967
0S42	0.00488934
0S43	0.00497912
